return probability of panel,panel member 1,panel member 2,panel member 3,panel member 4,panel member 5,panel member 6,panel member 7,panel member 8,panel member 9,panel member 10,panel member 11,panel member 12,panel member 13,panel member 14,panel member 15,panel member 16,panel member 17,panel member 18,panel member 19,panel member 20,panel member 21,panel member 22,panel member 23,panel member 24,panel member 25,panel member 26,panel member 27,panel member 28,panel member 29,panel member 30
0.006869140831845144,8,83,110,117,129,233,254,261,340,349,474,643,644,648,659,701,722,740,751,775,791,795,798,840,842,855,875,883,958,963
0.004315420284727762,5,94,98,100,117,135,146,160,219,223,351,404,407,424,602,659,677,684,686,694,713,720,724,742,755,785,847,883,957,980
0.00209171486258226,12,63,100,164,177,223,318,329,334,341,345,358,363,393,432,516,532,590,594,653,659,724,725,732,829,854,863,869,880,992
0.0044449862773636006,5,87,92,94,98,153,199,219,269,280,404,438,548,555,562,564,659,675,690,720,730,744,805,861,877,914,949,955,967,994
0.0014366742215849498,54,169,170,196,278,298,324,334,356,381,431,432,451,535,540,576,632,663,665,698,708,751,760,837,933,963,967,974,978,984
0.007982066366568888,76,169,196,233,269,278,292,318,324,329,334,341,345,363,460,466,563,576,644,648,661,715,722,782,805,875,883,926,932,984
0.002154688757012177,8,12,49,83,144,169,241,248,254,267,337,395,409,415,436,446,448,467,474,482,496,740,750,761,802,814,883,919,925,992
0.006434888774195028,34,85,119,129,130,132,137,179,208,236,530,562,594,602,627,689,701,717,727,825,832,854,913,918,928,939,948,949,953,996
0.004635257688112432,9,19,34,39,87,99,137,144,186,241,254,303,304,319,327,388,415,448,511,542,553,558,559,697,792,806,814,825,914,970
0.0016790368456949852,5,94,98,110,117,153,162,166,169,202,219,269,280,323,527,563,696,730,775,791,795,798,805,842,852,883,926,932,943,955
0.004093801620399259,85,119,130,137,169,186,213,236,424,436,447,448,456,467,521,602,615,624,684,725,742,749,750,755,825,832,948,949,957,996
0.006963398709531204,5,12,63,94,98,153,196,219,234,235,264,356,358,404,431,451,470,488,514,515,524,565,659,690,703,720,760,869,880,883
0.0021211339758923516,46,115,203,248,409,424,432,436,456,467,472,521,548,575,615,624,684,742,747,750,784,823,908,919,925,945,966,987,994,996
0.0001533269675648,12,34,63,110,117,135,186,291,381,401,436,467,482,521,532,537,686,694,698,713,749,750,751,775,791,863,869,880,919,992
0.0011523772578994457,9,19,39,43,199,203,210,224,248,264,300,303,304,319,398,403,409,548,562,564,585,657,697,703,744,752,786,823,852,877
0.006810976331027878,43,164,169,190,224,233,261,456,516,524,565,568,590,598,615,621,622,623,624,644,648,653,684,722,732,823,840,854,875,883
0.003016653154677516,1,34,103,177,199,210,213,291,347,401,403,436,447,467,521,532,537,548,566,585,725,732,749,751,752,762,853,863,894,953
0.0026366594899481315,5,8,49,83,85,92,94,98,137,144,153,169,219,241,254,446,448,474,540,594,659,663,708,730,740,761,825,861,967,996
0.0006497072979901211,110,117,129,136,278,298,323,357,381,474,501,555,665,675,690,698,701,717,727,751,775,791,795,855,933,953,958,963,978,984
0.009817450462571766,8,49,76,103,137,144,169,210,241,254,347,403,415,446,448,466,566,661,720,760,761,782,785,814,825,837,853,854,883,895
0.004115698766367239,19,39,43,117,136,199,203,210,224,248,300,303,304,319,398,403,409,456,501,562,564,585,624,697,703,744,786,823,877,949
0.0022450425481594597,54,100,158,168,186,213,223,342,357,370,376,379,393,436,447,460,467,521,530,535,671,724,725,749,750,829,913,918,933,943
0.0007381396925881073,12,33,63,169,196,340,349,358,426,431,576,643,659,689,690,724,798,829,840,842,859,869,873,879,880,908,926,932,945,966
0.0008114825709316442,13,76,234,235,278,337,356,401,406,446,451,460,470,488,496,514,515,524,565,659,661,760,782,802,828,837,883,895,978,984
0.0019510081537519606,8,49,85,90,130,132,137,169,210,241,300,347,358,398,403,446,448,516,627,659,732,760,761,825,837,895,928,939,948,996
0.007553291814853496,33,92,110,117,132,135,186,264,291,340,349,401,426,537,555,643,675,677,686,689,690,694,713,775,840,861,913,939,953,967
0.001436674221584989,19,43,92,136,184,199,224,303,304,319,456,548,553,555,559,562,564,585,615,624,675,690,697,744,786,806,823,861,877,949
0.0001210969575601971,34,76,87,94,98,162,219,323,404,438,466,511,527,696,720,782,785,852,859,873,879,908,913,914,945,957,966,970,987,994
0.008214789333782427,1,9,13,19,39,99,100,177,203,303,304,319,329,388,406,432,511,542,548,559,697,724,752,762,806,828,829,894,914,970
0.0028116199552488392,1,34,103,210,278,298,300,340,347,381,398,401,403,537,698,717,727,751,752,863,879,908,913,945,958,963,966,978,987,994
0.003257292668509613,43,103,158,169,184,224,264,277,332,351,376,379,395,407,434,553,559,566,624,659,661,674,694,703,713,786,806,823,847,853
0.0010442775839826933,33,99,186,196,269,277,292,318,327,329,334,340,341,345,349,363,388,403,558,563,576,643,659,751,792,840,926,932,958,963
0.002475961292597028,1,9,12,19,39,63,177,203,223,248,303,304,319,329,334,409,424,432,482,511,548,697,742,762,869,880,894,970,980,992
7.123034655345982e-05,5,85,94,98,119,130,137,153,179,219,236,241,269,280,448,563,602,659,730,755,805,825,832,883,926,932,948,955,957,996
0.0033163214618894743,5,34,94,98,162,166,190,291,303,304,319,393,401,488,514,515,524,527,532,537,553,559,565,568,598,657,696,806,852,863
0.005901422954424586,120,144,164,179,196,208,233,241,254,267,356,395,415,431,448,451,457,590,594,648,653,659,715,722,760,814,837,854,883,895
0.009283854603698275,9,46,76,87,160,169,190,264,404,438,466,511,568,575,598,621,622,623,631,661,667,720,736,739,747,782,785,883,914,970
0.008357143063184752,19,39,110,120,166,203,223,248,277,303,304,395,409,424,457,615,657,674,684,697,715,742,775,791,795,798,852,913,925,980
0.000557690109219938,19,39,43,186,203,224,233,254,261,303,304,319,456,460,624,644,648,697,722,775,786,791,795,798,823,842,859,873,875,883
0.006353399539527487,43,146,160,184,186,190,224,332,337,406,434,456,482,496,553,559,598,621,622,623,624,659,667,786,802,806,823,958,963,992
0.00020942277933466496,34,46,164,170,179,186,208,291,318,324,329,334,341,401,516,532,537,575,590,594,631,632,653,732,739,747,755,854,863,974
0.00935832991587589,43,117,135,146,158,184,224,233,261,319,332,434,456,553,559,624,644,648,659,677,686,694,703,713,722,786,806,823,875,883
0.0009563781002742872,120,164,169,179,196,208,233,324,356,357,370,431,451,457,576,590,594,632,648,653,659,665,671,715,722,760,837,854,933,974
0.0018049967740487731,54,76,130,168,169,196,199,208,342,356,404,431,451,466,530,535,562,564,720,744,760,782,785,837,877,883,895,918,948,949
